50 160
0 1 89
0 2 93
0 3 67
0 4 80
0 5 59
0 6 86
0 7 104
0 8 77
0 9 93
0 10 81
0 11 86
0 12 79
0 13 77
0 14 90
0 15 72
0 16 70
0 17 77
0 18 69
0 19 78
0 20 83
0 21 85
0 22 74
0 23 72
0 24 68
0 25 79
0 26 99
0 27 77
0 28 82
0 29 85
0 30 81
0 31 82
0 32 87
0 33 70
0 34 67
0 35 90
0 36 88
0 37 86
0 38 97
0 39 82
0 40 84
0 41 80
0 42 88
0 43 71
0 44 93
0 45 89
0 46 69
0 47 101
0 48 68
0 49 78
1 9 59
1 24 12
1 27 3
1 49 74
2 5 76
2 27 2
2 49 91
3 8 65
3 18 3
3 19 2
3 49 80
4 41 76
4 49 94
5 1 59
5 49 76
6 49 86
7 2 76
7 24 28
7 49 69
8 14 63
8 49 81
9 19 73
9 30 5
9 39 15
9 49 60
10 35 62
10 49 88
11 3 6
11 39 1
11 46 9
11 49 70
12 49 90
13 49 82
14 4 14
14 38 74
14 49 65
15 49 84
16 49 70
17 13 2
17 49 75
18 31 69
18 49 84
19 44 73
19 49 87
20 23 3
20 34 71
20 49 80
21 46 1
21 49 84
22 18 3
22 26 71
22 49 62
23 49 83
24 49 108
25 28 1
25 49 78
26 4 71
26 10 7
26 49 92
27 49 82
28 49 88
29 19 7
29 49 78
30 49 86
31 7 69
31 35 1
31 48 6
31 49 76
32 3 4
32 33 77
32 49 83
33 18 70
33 49 96
34 10 62
34 49 76
35 4 3
35 13 2
35 15 12
35 22 62
35 36 3
35 49 71
36 43 3
36 49 88
37 12 11
37 49 75
38 28 5
38 40 74
38 49 92
39 32 1
39 49 97
40 3 73
40 9 1
40 31 1
40 49 83
41 13 1
41 32 76
41 49 79
42 43 6
42 49 82
43 49 80
44 4 2
44 20 71
44 23 8
44 49 85
45 18 8
45 49 81
46 49 79
47 8 2
47 33 19
47 49 80
48 49 74
